,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,Tweet,cleaned_hashtag
2696,neevarnab08,"*Photographer
*Journalist 
*Engineer
*Moralist*","Agartala,Tripura",371,97,1019,2015-08-09 04:27:35,2020-07-25 14:55:16,0,"#Lockdown in #Tripura again from 27 th July to 30 th July.
#COVID19 https://t.co/n9zUoAc4pi","[{'text': 'Lockdown', 'indices': [0, 9]}, {'text': 'Tripura', 'indices': [13, 21]}, {'text': 'COVID19', 'indices': [59, 67]}]","['july', 'july', 'covid19']","['#Lockdown', '#Tripura']"
2697,conpsweeney,Social Media Adviser - strategy & applications consulting | content development | teaching & coaching                 Managing Director - Someddi LLC,NYC Area,51579,53473,146876,2013-10-29 18:17:11,2020-07-25 14:55:06,0,22      Are you letting people know that you're alive on #socialmedia during the  #COVID-19 #pandemic? Read my #blogpost to find out: https://t.co/aQJqXYnuxI  #amwriting #writingcommunity #writersnetwork #storyteller #writers,"[{'text': 'socialmedia', 'indices': [57, 69]}, {'text': 'COVID', 'indices': [82, 88]}, {'text': 'pandemic', 'indices': [92, 101]}, {'text': 'blogpost', 'indices': [111, 120]}, {'text': 'amwriting', 'indices': [159, 169]}, {'text': 'writingcommunity', 'indices': [170, 187]}, {'text': 'writersnetwork', 'indices': [188, 203]}, {'text': 'storyteller', 'indices': [204, 216]}, {'text': 'writers', 'indices': [217, 225]}]","['let', 'people', 'know', 'alive', 'the', 'read', 'find', 'out']","['#socialmedia', '#COVID-19', '#pandemic?', '#blogpost', '#amwriting', '#writingcommunity', '#writersnetwork', '#storyteller', '#writers']"
2698,bhuchungtsering,མ་མཐོང་ཕྱིར་ན་མེད་པ་མིན། Not seeing something doesn't mean it does not exist.,"Washington, D.C. personal",407,4145,32698,2009-06-22 18:26:35,2020-07-25 14:55:06,1,"“My dearly beloved friends, you don’t have to be fearful &amp; terrified. Even though the #pandemic is merciless, the world is full of love &amp; compassion” 🎼song about #COVID19 in #Tibetan by Taktser Bhoetuk 🙏🏽 #positivity  སྟག་ཚེར་བོད་ཕྲུག་གི་གཞས་འདི་ལེགས། https://t.co/noFZDvfmyH","[{'text': 'pandemic', 'indices': [90, 99]}, {'text': 'COVID19', 'indices': [170, 178]}, {'text': 'Tibetan', 'indices': [182, 190]}, {'text': 'positivity', 'indices': [213, 224]}]","['dearly', 'beloved', 'friend', 'don', 'fearful', 'amp', 'terrify', 'even', 'though', 'merciless', 'world', 'full', 'love', 'amp', 'compassion', 'song', 'taktser', 'bhoetuk']","['#pandemic', '#COVID19', '#Tibetan', '#positivity']"
2699,LaxmanZagge,Always B positive,,34,3,44,2020-05-19 09:04:59,2020-07-25 14:54:59,0,"All we ask is for the Government to understand our plight and provide relief, as requested by our association.
We play an important role in shaping careers as well as developing young minds.
All we seek is your support in these challenging times
#classowners #lockdown #pandemic","[{'text': 'classowners', 'indices': [246, 258]}, {'text': 'lockdown', 'indices': [259, 268]}, {'text': 'pandemic', 'indices': [269, 278]}]","['ask', 'government', 'understand', 'plight', 'provide', 'relief', 'request', 'association', 'play', 'important', 'role', 'shaping', 'career', 'well', 'develop', 'young', 'mind', 'all', 'seek', 'support', 'challenging', 'time', 'classowner']","['#lockdown', '#pandemic']"
2700,LaxmanZagge,Always B positive,,34,3,44,2020-05-19 09:04:59,2020-07-25 14:54:59,0,"We, class owners, are facing unprecedented crisis in the current pandemic. 
In spite of the loss of revenue and business, we are bravely honouring our commitment to students as well as team members. 
#classowners #support #lockdown #pandemic","[{'text': 'classowners', 'indices': [200, 212]}, {'text': 'support', 'indices': [213, 221]}, {'text': 'lockdown', 'indices': [222, 231]}, {'text': 'pandemic', 'indices': [232, 241]}]","['class', 'owner', 'face', 'unprecedented', 'crisis', 'current', 'pandemic', 'spite', 'loss', 'revenue', 'business', 'bravely', 'honour', 'commitment', 'student', 'well', 'team', 'member', 'classowner']","['#support', '#lockdown', '#pandemic']"
2701,PaulaCobia,"Human Rights Activist, Common Sense Advocate & Citizen Journalist",Alabama,7314,12307,8710,2011-02-15 18:05:02,2020-07-25 14:54:58,7,"Organized crime is ruling the USA. Installed by foreign adversaries &amp; people buying into their ‘religious/patriotic’ narratives, along with/the merely greedy. Threatening a scientist advocating for the people in a #pandemic borders on treason.
#FaucisAHero #COVID19 https://t.co/UKGmQsEB8d","[{'text': 'pandemic', 'indices': [218, 227]}, {'text': 'FaucisAHero', 'indices': [248, 260]}, {'text': 'COVID19', 'indices': [261, 269]}]","['organize', 'crime', 'rule', 'usa', 'installed', 'foreign', 'adversary', 'amp', 'people', 'buy', 'religious', 'patriotic', 'narrative', 'along', 'with', 'the', 'merely', 'greedy', 'threatening', 'scientist', 'advocate', 'people', 'border', 'treason', 'faucisahero']","['#pandemic', '#COVID19']"
2702,lollypopkilljoy,Love God. Cat mother. Hard Worker. Makeup Lover. Awesome Aunt. Britney Spears follows me. Proud Liberal. Pro Choice. Equality. Human Being. Boricua.,Puerto Rico,416,74,4023,2009-03-16 23:30:08,2020-07-25 14:54:53,0,"I love this picture... during this #pandemic my #anxiety has won a few battles but not the war. I'm more productive than ever fixing my home, #cleaning and #organizing more than ever. Trying to train my #cats… https://t.co/xw0teiX4nf","[{'text': 'pandemic', 'indices': [35, 44]}, {'text': 'anxiety', 'indices': [48, 56]}, {'text': 'cleaning', 'indices': [142, 151]}, {'text': 'organizing', 'indices': [156, 167]}, {'text': 'cats', 'indices': [203, 208]}]","['love', 'picture', 'battle', 'war', 'productive', 'ever', 'fix', 'home', 'ever', 'try', 'train']","['#pandemic', '#anxiety', '#cleaning', '#organizing', '#cats…']"
2703,ians_india,India's largest independent News Agency,New Delhi,45,52194,228000,2010-05-08 13:21:45,2020-07-25 14:54:39,0,"The Centre had launched the #PMSVANidhi scheme to facilitate collateral-free working capital loans of up to Rs 10,000 for one-year tenure to approximately 50 lakh street vendors to resume their businesses affected by the #COVID19 pandemic.

#Lockdown #coronavirus https://t.co/ApvI8DIQmY","[{'text': 'PMSVANidhi', 'indices': [28, 39]}, {'text': 'COVID19', 'indices': [221, 229]}, {'text': 'Lockdown', 'indices': [241, 250]}, {'text': 'coronavirus', 'indices': [251, 263]}]","['centre', 'launch', 'scheme', 'facilitate', 'collateral', 'free', 'work', 'capital', 'loan', '000', 'one', 'year', 'tenure', 'approximately', 'lakh', 'street', 'vendor', 'resume', 'business', 'affect', 'pandemic', 'lockdown']","['#PMSVANidhi', '#COVID19', '#coronavirus']"
2704,LPrabani,Feminist Activist I Reproductive Justice I Gender & Food Security I Gender Officer- @WFPSriLanka I Advocacy & Networking- @YANSriLanka I She/Her,Sri Lanka,1131,863,10454,2012-07-11 09:20:23,2020-07-25 14:54:29,0,4. When u know u r @far serious risk to your life &amp; #wellbeing not bcoz of the #virus but bcoz of the #toxicaggression &amp; #violence that u have been living with meted out to you by your own #family which is getting all the more frequent &amp; intense as days pass by during #lockdown,"[{'text': 'wellbeing', 'indices': [56, 66]}, {'text': 'virus', 'indices': [83, 89]}, {'text': 'toxicaggression', 'indices': [106, 122]}, {'text': 'violence', 'indices': [129, 138]}, {'text': 'family', 'indices': [197, 204]}, {'text': 'lockdown', 'indices': [281, 290]}]","['know', 'serious', 'risk', 'life', 'amp', 'bcoz', 'bcoz', 'amp', 'living', 'met', 'get', 'frequent', 'amp', 'intense', 'day', 'pass']","['#wellbeing', '#virus', '#toxicaggression', '#violence', '#family', '#lockdown']"
2705,LPrabani,Feminist Activist I Reproductive Justice I Gender & Food Security I Gender Officer- @WFPSriLanka I Advocacy & Networking- @YANSriLanka I She/Her,Sri Lanka,1131,863,10454,2012-07-11 09:20:23,2020-07-25 14:54:27,0,"1. #Stayhome #staysafe’ is a very reassuring mantra during the #COVID19 pandemic #lockdown When you are all huddled &amp; protected at home with no risk whatsoever to #virus exposure, having a well-stocked up #kitchen &amp; #homedelivery for #groceries &amp; essential supplies;","[{'text': 'Stayhome', 'indices': [3, 12]}, {'text': 'staysafe', 'indices': [13, 22]}, {'text': 'COVID19', 'indices': [63, 71]}, {'text': 'lockdown', 'indices': [81, 90]}, {'text': 'virus', 'indices': [167, 173]}, {'text': 'kitchen', 'indices': [209, 217]}, {'text': 'homedelivery', 'indices': [224, 237]}, {'text': 'groceries', 'indices': [242, 252]}]","['reassure', 'mantra', 'pandemic', 'huddle', 'amp', 'protect', 'home', 'risk', 'whatsoever', 'exposure', 'well', 'stock', 'amp', 'amp', 'essential', 'supply']","['#Stayhome', '#staysafe’', '#COVID19', '#lockdown', '#virus', '#kitchen', '#homedelivery', '#groceries']"
2706,deitchstudio,,Manhattan,60,109,6629,2015-11-28 16:08:56,2020-07-25 14:53:51,0,"https://t.co/PXBKQiWZM8 starts w/ this photo postcard purchase and morphs into a discussion of quarantine drinking, Zoom cocktails and then jazz! Find it at: https://t.co/pp9KfGpPJX or by searching https://t.co/PXBKQiWZM8 #QuarantineLife #QuarantineAndChill https://t.co/jTOPE0kQWn","[{'text': 'QuarantineLife', 'indices': [222, 237]}, {'text': 'QuarantineAndChill', 'indices': [238, 257]}]","['start', 'photo', 'postcard', 'purchase', 'morph', 'discussion', 'quarantine', 'drink', 'zoom', 'cocktail', 'jazz', 'find', 'search']","['#QuarantineLife', '#QuarantineAndChill']"
2707,BaaghiTV,"A digital web news network of Pakisan prevailing truth, justice and accountability shunning corruption, injustice, crime and terrorism. #BaaghiTV",Pakistan,5,37166,117173,2012-12-17 13:56:38,2020-07-25 14:53:50,1,"3rd CIIE to be held as scheduled offline in Shanghai amid pandemic
https://t.co/bOe3TfCnrh
#pandemic #CoronaVirus #Shanghai #Imports #ChinaInternationalImportExpo","[{'text': 'pandemic', 'indices': [91, 100]}, {'text': 'CoronaVirus', 'indices': [101, 113]}, {'text': 'Shanghai', 'indices': [114, 123]}, {'text': 'Imports', 'indices': [124, 132]}, {'text': 'ChinaInternationalImportExpo', 'indices': [133, 162]}]","['3rd', 'ciie', 'hold', 'schedule', 'offline', 'shanghai', 'amid', 'pandemic', 'pandemic']","['#CoronaVirus', '#Shanghai', '#Imports', '#ChinaInternationalImportExpo']"
2708,dghowery,4forTexas,Edmonton,1646,1574,19133,2009-07-25 15:52:55,2020-07-25 14:53:26,1,Scientists finally figured out what makes the coronavirus so dangerous https://t.co/o22P9qmMW9 #COVID19 #covid #covid19ab #COVIDfatigue #coronavirus #CoronaVirusUpdates #CoronavirusPandemic #virus #pandemic #science #vaccine #CoronavirusVaccine,"[{'text': 'COVID19', 'indices': [95, 103]}, {'text': 'covid', 'indices': [104, 110]}, {'text': 'covid19ab', 'indices': [111, 121]}, {'text': 'COVIDfatigue', 'indices': [122, 135]}, {'text': 'coronavirus', 'indices': [136, 148]}, {'text': 'CoronaVirusUpdates', 'indices': [149, 168]}, {'text': 'CoronavirusPandemic', 'indices': [169, 189]}, {'text': 'virus', 'indices': [190, 196]}, {'text': 'pandemic', 'indices': [197, 206]}, {'text': 'science', 'indices': [207, 215]}, {'text': 'vaccine', 'indices': [216, 224]}, {'text': 'CoronavirusVaccine', 'indices': [225, 244]}]","['scientist', 'finally', 'figure', 'make', 'coronavirus', 'dangerous']","['#COVID19', '#covid', '#covid19ab', '#COVIDfatigue', '#coronavirus', '#CoronaVirusUpdates', '#CoronavirusPandemic', '#virus', '#pandemic', '#science', '#vaccine', '#CoronavirusVaccine']"
2709,Nikh747,DONT KNOW,भारत,1238,345,5106,2012-01-17 13:00:55,2020-07-25 14:53:17,0,@NMMCCommr @NMMCofficial @ThaneCollector @CMOMaharashtra @AUThackeray @VarshaEGaikwad @meNeeleshNRane @Dev_Fadnavis will anyone come to support #parents in this #pandemic or all will just watch and enjoy . https://t.co/Qon5tRp2tg,"[{'text': 'parents', 'indices': [144, 152]}, {'text': 'pandemic', 'indices': [161, 170]}]","['fadnavis', 'anyone', 'come', 'support', 'watch', 'enjoy']","['#parents', '#pandemic']"
2710,IronMtnHealth,"Managed by @IronMountain healthcare experts, specializing in all things Health Info Governance and Health IT management.","Boston, MA",282,878,1749,2013-10-04 20:46:32,2020-07-25 14:53:01,0,"With the rush to adjust to the #COVID19 #pandemic and the resulting changes, have you stopped to check your #healthcare #privacy and #security policies and whether you are still abiding by them? https://t.co/2bpMwKbbdP","[{'text': 'COVID19', 'indices': [31, 39]}, {'text': 'pandemic', 'indices': [40, 49]}, {'text': 'healthcare', 'indices': [108, 119]}, {'text': 'privacy', 'indices': [120, 128]}, {'text': 'security', 'indices': [133, 142]}]","['rush', 'adjust', 'result', 'change', 'stop', 'check', 'policy', 'whether', 'still', 'abide', '-PRON-']","['#COVID19', '#pandemic', '#healthcare', '#privacy', '#security']"
2711,scarletmonahan,"looking in-looking on,
making art, still trying to work out the difference between a smile & a grin
photographic artist sculpture poet controversial celebrity",United Kingdom,23823,336461,1942659,2011-05-03 23:23:17,2020-07-25 14:52:52,1,Alan self isolation Day 10 Be seeing you. https://t.co/kJgNftFnVo #animation #animated #Quarantine #lockdownextension #lockdown #UKlockdown #Icanthearyou #stockpiling #QuarantineLife #ToiletRoll #SocialDistancing #StayHomeSaveLifes #IcanthearyouAlan #SelfIsolation 111,"[{'text': 'animation', 'indices': [66, 76]}, {'text': 'animated', 'indices': [77, 86]}, {'text': 'Quarantine', 'indices': [87, 98]}, {'text': 'lockdownextension', 'indices': [99, 117]}, {'text': 'lockdown', 'indices': [118, 127]}, {'text': 'UKlockdown', 'indices': [128, 139]}, {'text': 'Icanthearyou', 'indices': [140, 153]}, {'text': 'stockpiling', 'indices': [154, 166]}, {'text': 'QuarantineLife', 'indices': [167, 182]}, {'text': 'ToiletRoll', 'indices': [183, 194]}, {'text': 'SocialDistancing', 'indices': [195, 212]}, {'text': 'StayHomeSaveLifes', 'indices': [213, 231]}, {'text': 'IcanthearyouAlan', 'indices': [232, 249]}, {'text': 'SelfIsolation', 'indices': [250, 264]}]","['alan', 'self', 'isolation', 'day', 'see', '-PRON-', '111']","['#animation', '#animated', '#Quarantine', '#lockdownextension', '#lockdown', '#UKlockdown', '#Icanthearyou', '#stockpiling', '#QuarantineLife', '#ToiletRoll', '#SocialDistancing', '#StayHomeSaveLifes', '#IcanthearyouAlan', '#SelfIsolation']"
2712,Faktoje_Albania,"Our mission is to fact-check the veracity of promises, statements and actions from high public officials (or private subjects that benefit from public funds)",Tirana,551,310,1003,2018-01-23 18:16:08,2020-07-25 14:52:14,0,"#25July update on the #COVID19 situation in #Albania
#faktoje #factchecking #coronavirus #pandemic #Covid19Updates 🇦🇱 https://t.co/aU2PJP5B8A","[{'text': '25July', 'indices': [0, 7]}, {'text': 'COVID19', 'indices': [22, 30]}, {'text': 'Albania', 'indices': [44, 52]}, {'text': 'faktoje', 'indices': [53, 61]}, {'text': 'factchecking', 'indices': [62, 75]}, {'text': 'coronavirus', 'indices': [76, 88]}, {'text': 'pandemic', 'indices': [89, 98]}, {'text': 'Covid19Updates', 'indices': [99, 114]}]","['update', 'situation']","['#25July', '#COVID19', '#Albania\n#faktoje', '#factchecking', '#coronavirus', '#pandemic', '#Covid19Updates']"
2713,dailystarnews,"Bangladesh's largest English Daily. The latest & breaking news, features, analysis and more from @dailystarnews.",Bangladesh,77,788348,142575,2009-09-27 08:54:28,2020-07-25 14:51:50,1,"Two lawyers were appointed for Rayhan Kabir today, a day after Malaysian Immigration Department arrested him and declared he would be deported to Bangladesh and blacklisted for criticising Putrajaya's handling of migrants during the #COVIDー19 #pandemic 
https://t.co/FikwejG5SQ","[{'text': 'COVIDー19', 'indices': [233, 242]}, {'text': 'pandemic', 'indices': [243, 252]}]","['two', 'lawyer', 'appoint', 'rayhan', 'kabir', 'today', 'day', 'malaysian', 'immigration', 'department', 'arrest', 'declare', 'would', 'deport', 'bangladesh', 'blacklist', 'criticise', 'putrajaya', 'handling', 'migrant']","['#COVIDー19', '#pandemic']"
2714,RenegadeStation,🇨🇦2018 Single of The year- Who’s Gonna Love Me Tonight 2015/2016 ACMA Group of the Year & 2015 Fans Choice. Official Twitter page - https://t.co/7qbecaF3GY,"Stettler, Alberta, Canada",3123,3336,14576,2009-12-27 07:41:58,2020-07-25 14:51:40,0,"Let’s be real. It’s 2020. A total possibility 😂
#2020 #pandemic #covid #whatthehell #craziness #whatsnext #musicians https://t.co/dsS2xH83Dp","[{'text': 'pandemic', 'indices': [54, 63]}, {'text': 'covid', 'indices': [64, 70]}, {'text': 'whatthehell', 'indices': [71, 83]}, {'text': 'craziness', 'indices': [84, 94]}, {'text': 'whatsnext', 'indices': [95, 105]}, {'text': 'musicians', 'indices': [106, 116]}]","['let', 'real', '2020', 'total', 'possibility', '2020']","['#pandemic', '#covid', '#whatthehell', '#craziness', '#whatsnext', '#musicians']"
2715,keithandallura,Tweets mostly current iteration of #Voltron #VLD #VoltronLegendaryDefender,Australia,722,1190,62484,2013-05-17 23:41:23,2020-07-25 14:51:29,0,"@hiyonohiyori It's the final weekend of July and iso #melbournelockdown due to #COVID19Vic #pandemic.  
Grateful for #homedelivery from Keki for Japanese souffle pancakes ❣🙏🏾😍 https://t.co/cvOmeMGDZa","[{'text': 'melbournelockdown', 'indices': [53, 71]}, {'text': 'COVID19Vic', 'indices': [79, 90]}, {'text': 'pandemic', 'indices': [91, 100]}, {'text': 'homedelivery', 'indices': [117, 130]}]","['final', 'weekend', 'july', 'iso', 'due', 'grateful', 'keki', 'japanese', 'souffle', 'pancake']","['#melbournelockdown', '#COVID19Vic', '#pandemic.', '#homedelivery']"
2716,EricStoffle,I write thrillers and more. Trading Lives is about a young woman with a good heart but deadly hands! I'd love it if you gave it a read and give your feedback.,,11384,21228,116891,2010-09-25 15:41:25,2020-07-25 14:51:29,0,It’s the Eleventh Hour as political and religious leaders use their power and influence toward for their own gain. Anyone who disagrees with them is quickly persecuted. #president #whitehouse #virus #pandemic https://t.co/RirUytu51K,"[{'text': 'president', 'indices': [169, 179]}, {'text': 'whitehouse', 'indices': [180, 191]}, {'text': 'virus', 'indices': [192, 198]}, {'text': 'pandemic', 'indices': [199, 208]}]","['eleventh', 'hour', 'political', 'religious', 'leader', 'use', 'power', 'influence', 'toward', 'gain', 'anyone', 'disagree', 'quickly', 'persecute']","['#president', '#whitehouse', '#virus', '#pandemic']"
2717,gorvamanila,"Your local plant-powered VITCH who's trying to do better! 💚💪🍃 More on, https://t.co/nh3BAw3mlT","Quezon City, Philippines",181,77,1627,2009-09-30 08:28:05,2020-07-25 14:51:25,0,"And no matter what religion you come from, at the end of the day your kindness, your faithfulness, and your actions are what truly value most. #pandemic #pandemiclife #pandemicchallenge #COVIDー19 #COVID__19","[{'text': 'pandemic', 'indices': [143, 152]}, {'text': 'pandemiclife', 'indices': [153, 166]}, {'text': 'pandemicchallenge', 'indices': [167, 185]}, {'text': 'COVIDー19', 'indices': [186, 195]}, {'text': 'COVID__19', 'indices': [196, 206]}]","['matter', 'religion', 'come', 'from', 'end', 'day', 'kindness', 'faithfulness', 'action', 'truly', 'value', 'most']","['#pandemic', '#pandemiclife', '#pandemicchallenge', '#COVIDー19', '#COVID__19']"
2718,Hotpage_News,Top 50 Headlines of the Day #COVID19 #Coronavirus,United States,13313,26296,291133,2009-03-12 14:16:30,2020-07-25 14:51:24,0,Gov't: New foreign students can't enter US if courses online - #COVID19 #Covid #Coronavirus #trump #Biden #pandemic                                          #virus #hotspot #mask #SchoolReopening #trumpvirus https://t.co/yBX48yFGz4,"[{'text': 'COVID19', 'indices': [63, 71]}, {'text': 'Covid', 'indices': [72, 78]}, {'text': 'Coronavirus', 'indices': [79, 91]}, {'text': 'trump', 'indices': [92, 98]}, {'text': 'Biden', 'indices': [99, 105]}, {'text': 'pandemic', 'indices': [106, 115]}, {'text': 'virus', 'indices': [157, 163]}, {'text': 'hotspot', 'indices': [164, 172]}, {'text': 'mask', 'indices': [173, 178]}, {'text': 'SchoolReopening', 'indices': [179, 195]}, {'text': 'trumpvirus', 'indices': [196, 207]}]","['gov', 'new', 'foreign', 'student', 'can', 'enter', 'course', 'online']","['#COVID19', '#Covid', '#Coronavirus', '#trump', '#Biden', '#pandemic', '#virus', '#hotspot', '#mask', '#SchoolReopening', '#trumpvirus']"
2719,Hotpage_News,Top 50 Headlines of the Day #COVID19 #Coronavirus,United States,13313,26296,291133,2009-03-12 14:16:30,2020-07-25 14:51:14,1,The 'Zoom room' boom: A very 2020 real estate trend - #COVID19 #Covid #Coronavirus #trump #Biden #pandemic                                          #virus #hotspot #mask #SchoolReopening #trumpvirus https://t.co/TxNO7hHYWq,"[{'text': 'COVID19', 'indices': [54, 62]}, {'text': 'Covid', 'indices': [63, 69]}, {'text': 'Coronavirus', 'indices': [70, 82]}, {'text': 'trump', 'indices': [83, 89]}, {'text': 'Biden', 'indices': [90, 96]}, {'text': 'pandemic', 'indices': [97, 106]}, {'text': 'virus', 'indices': [148, 154]}, {'text': 'hotspot', 'indices': [155, 163]}, {'text': 'mask', 'indices': [164, 169]}, {'text': 'SchoolReopening', 'indices': [170, 186]}, {'text': 'trumpvirus', 'indices': [187, 198]}]","['zoom', 'room', 'boom', '2020', 'real', 'estate', 'trend']","['#COVID19', '#Covid', '#Coronavirus', '#trump', '#Biden', '#pandemic', '#virus', '#hotspot', '#mask', '#SchoolReopening', '#trumpvirus']"
2720,Emerging_Guru,Digital maven passionate about the power of #disruptiveTech to create an exceptional world. Covering #AI #NLP #Ethics & #GeoPolitical developments. 🇺🇸🇸🇱🇳🇬,"New York, NY",1583,672,3016,2012-03-26 20:16:56,2020-07-25 14:51:07,0,Ways to fill up our emotional reserves and build resilience  during this ongoing crisis- Psychological Impacts of Life in the Second half of the #COVID19 #pandemic. #pandemiclife  https://t.co/hpq7Yq5N0W,"[{'text': 'COVID19', 'indices': [145, 153]}, {'text': 'pandemic', 'indices': [154, 163]}, {'text': 'pandemiclife', 'indices': [165, 178]}]","['way', 'fill', 'emotional', 'reserve', 'build', 'resilience', 'ongoing', 'crisis', 'psychological', 'impacts', 'life', 'second', 'half']","['#COVID19', '#pandemic.', '#pandemiclife']"
2721,Hotpage_News,Top 50 Headlines of the Day #COVID19 #Coronavirus,United States,13313,26296,291133,2009-03-12 14:16:30,2020-07-25 14:50:52,0,CDC changes COVID-19 guidance on how long people need to be isolated - #COVID19 #Covid #Coronavirus #trump #Biden #pandemic                                          #virus #hotspot #mask #SchoolReopening #trumpvirus https://t.co/QnldAAp44B,"[{'text': 'COVID19', 'indices': [71, 79]}, {'text': 'Covid', 'indices': [80, 86]}, {'text': 'Coronavirus', 'indices': [87, 99]}, {'text': 'trump', 'indices': [100, 106]}, {'text': 'Biden', 'indices': [107, 113]}, {'text': 'pandemic', 'indices': [114, 123]}, {'text': 'virus', 'indices': [165, 171]}, {'text': 'hotspot', 'indices': [172, 180]}, {'text': 'mask', 'indices': [181, 186]}, {'text': 'SchoolReopening', 'indices': [187, 203]}, {'text': 'trumpvirus', 'indices': [204, 215]}]","['cdc', 'change', 'covid', 'guidance', 'long', 'people', 'need', 'isolate']","['#COVID19', '#Covid', '#Coronavirus', '#trump', '#Biden', '#pandemic', '#virus', '#hotspot', '#mask', '#SchoolReopening', '#trumpvirus']"
2722,Ashok_HT,"Chief photographer, Eastern Chronicle.","Kolkata, India",92,260,1611,2016-03-17 08:51:24,2020-07-25 14:50:52,0,Glimpses of complete #lockdown in #Kolkata today #cocid_19 https://t.co/oTAfotp3ai,"[{'text': 'lockdown', 'indices': [21, 30]}, {'text': 'Kolkata', 'indices': [34, 42]}, {'text': 'cocid_19', 'indices': [49, 58]}]","['glimpse', 'complete', 'today']","['#lockdown', '#Kolkata', '#cocid_19']"
2723,Hotpage_News,Top 50 Headlines of the Day #COVID19 #Coronavirus,United States,13313,26296,291133,2009-03-12 14:16:30,2020-07-25 14:50:40,0,MIT researchers created a reusable face mask that works like an N95 respirator - #COVID19 #Covid #Coronavirus #trump #Biden #pandemic                                          #virus #hotspot #mask #SchoolReopening #trumpvirus https://t.co/t5Tix2fiX8,"[{'text': 'COVID19', 'indices': [81, 89]}, {'text': 'Covid', 'indices': [90, 96]}, {'text': 'Coronavirus', 'indices': [97, 109]}, {'text': 'trump', 'indices': [110, 116]}, {'text': 'Biden', 'indices': [117, 123]}, {'text': 'pandemic', 'indices': [124, 133]}, {'text': 'virus', 'indices': [175, 181]}, {'text': 'hotspot', 'indices': [182, 190]}, {'text': 'mask', 'indices': [191, 196]}, {'text': 'SchoolReopening', 'indices': [197, 213]}, {'text': 'trumpvirus', 'indices': [214, 225]}]","['mit', 'researcher', 'create', 'reusable', 'face', 'mask', 'work', 'like', 'n95', 'respirator']","['#COVID19', '#Covid', '#Coronavirus', '#trump', '#Biden', '#pandemic', '#virus', '#hotspot', '#mask', '#SchoolReopening', '#trumpvirus']"
2724,Makhanya,"My life: 

Created by God
Produced by My Parents
Directed by Me

A Maverick

My personal views and opinions",Infinity & Beyond,513,379,6570,2009-03-03 13:48:22,2020-07-25 14:50:28,0,"Someone has to say it: BASENZA ABELUNGU!!! 

Why didn't they go eChina Mall if bafuna ukubona amaChina kodwa?

#coronavirusInSA 
#Lockdown","[{'text': 'coronavirusInSA', 'indices': [111, 127]}, {'text': 'Lockdown', 'indices': [129, 138]}]","['someone', 'say', 'basenza', 'abelungu', 'why', 'echina', 'mall', 'bafuna', 'ukubona', 'amachina', 'kodwa', 'coronavirusinsa', 'lockdown']",[]
2725,Hotpage_News,Top 50 Headlines of the Day #COVID19 #Coronavirus,United States,13313,26296,291133,2009-03-12 14:16:30,2020-07-25 14:50:18,0,"South Korea reports case spike, US states tighten controls - #COVID19 #Covid #Coronavirus #trump #Biden #pandemic                                          #virus #hotspot #mask #SchoolReopening #trumpvirus https://t.co/al7AaVTJ0C","[{'text': 'COVID19', 'indices': [61, 69]}, {'text': 'Covid', 'indices': [70, 76]}, {'text': 'Coronavirus', 'indices': [77, 89]}, {'text': 'trump', 'indices': [90, 96]}, {'text': 'Biden', 'indices': [97, 103]}, {'text': 'pandemic', 'indices': [104, 113]}, {'text': 'virus', 'indices': [155, 161]}, {'text': 'hotspot', 'indices': [162, 170]}, {'text': 'mask', 'indices': [171, 176]}, {'text': 'SchoolReopening', 'indices': [177, 193]}, {'text': 'trumpvirus', 'indices': [194, 205]}]","['south', 'korea', 'report', 'case', 'spike', 'state', 'tighten', 'control']","['#COVID19', '#Covid', '#Coronavirus', '#trump', '#Biden', '#pandemic', '#virus', '#hotspot', '#mask', '#SchoolReopening', '#trumpvirus']"
2726,sneakwhistlebl1,Not everyone has to like me. I can't force you to have good taste.,#StayHomeStaySafe ,387,28,1568,2018-10-08 05:08:37,2020-07-25 14:50:17,0,"@AmitAgarwal9 Maggi
But Yippee Helped a Lot in the #Lockdown","[{'text': 'Lockdown', 'indices': [51, 60]}]","['maggi', 'but', 'yippee', 'help', 'lot']",['#Lockdown']
